iter	Passed	Remaining
0	1	104
1	1	94
2	2	88
3	3	80
4	4	78
5	5	81
6	5	79
7	6	77
8	7	75
9	8	75
10	9	74
11	10	73
12	10	71
13	11	70
14	12	68
15	12	67
16	13	66
17	14	66
18	15	65
19	15	63
20	16	62
21	17	61
22	18	60
23	18	59
24	19	58
25	20	58
26	21	57
27	21	56
28	22	55
29	23	55
30	24	54
31	25	53
32	25	52
33	26	51
34	27	50
35	28	49
36	28	49
37	29	48
38	30	47
39	31	46
40	31	45
41	32	44
42	32	43
43	33	42
44	34	42
45	35	41
46	36	40
47	36	40
48	37	39
49	38	38
50	39	37
51	40	37
52	40	36
53	41	35
54	42	34
55	43	33
56	43	32
57	44	32
58	45	31
59	46	30
60	46	29
61	47	29
62	48	28
63	48	27
64	49	26
65	50	25
66	50	25
67	51	24
68	52	23
69	52	22
70	53	21
71	54	21
72	55	20
73	55	19
74	56	18
75	57	18
76	58	17
77	58	16
78	59	15
79	60	15
80	61	14
81	62	13
82	62	12
83	63	12
84	64	11
85	65	10
86	66	9
87	66	9
88	67	8
89	68	7
90	69	6
91	69	6
92	70	5
93	71	4
94	72	3
95	73	3
96	74	2
97	74	1
98	75	0
99	76	0
